date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:59:06	17514/17514	---M--	200	added ('OK')	application/octet-stream	etag:%225ac04077-446a%22	https://static.itch.io/fonts/04b03.eot?	C:/Benim%20Web%20Sitem/sa/static.itch.io/fonts/04b03d41d.eot	(from https://static.itch.io/game.css?1647482983)
07:59:06	4888/4888	---MCZ	200	added ('OK')	text/plain	etag:W/%225ac04077-1318%22	https://static.itch.io/fonts/04b03.woff2	C:/Benim%20Web%20Sitem/sa/static.itch.io/fonts/04b03.woff2	(from https://static.itch.io/game.css?1647482983)
07:59:06	6488/6488	---MCZ	200	added ('OK')	text/plain	etag:W/%225ac04077-1958%22	https://static.itch.io/fonts/04b03.woff	C:/Benim%20Web%20Sitem/sa/static.itch.io/fonts/04b03.woff	(from https://static.itch.io/game.css?1647482983)
07:59:07	17304/17304	---MCZ	200	added ('OK')	text/plain	etag:W/%225ac04077-4398%22	https://static.itch.io/fonts/04b03.ttf	C:/Benim%20Web%20Sitem/sa/static.itch.io/fonts/04b03.ttf	(from https://static.itch.io/game.css?1647482983)
07:59:08	11700/11700	---M--	200	added ('OK')	image/png	etag:%225ac04077-2dd5%22	https://static.itch.io/lib/farbtastic/wheel.png	C:/Benim%20Web%20Sitem/sa/static.itch.io/lib/farbtastic/wheel.png	(from https://static.itch.io/game.css?1647482983)
07:59:08	1830/1830	---M--	200	added ('OK')	image/png	etag:%225ac04077-7e4%22	https://static.itch.io/lib/farbtastic/mask.png	C:/Benim%20Web%20Sitem/sa/static.itch.io/lib/farbtastic/mask.png	(from https://static.itch.io/game.css?1647482983)
07:59:08	376/376	---M--	200	added ('OK')	image/png	etag:%225ac04077-28c%22	https://static.itch.io/lib/farbtastic/marker.png	C:/Benim%20Web%20Sitem/sa/static.itch.io/lib/farbtastic/marker.png	(from https://static.itch.io/game.css?1647482983)
07:59:08	4327/4327	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ac04077-10e7%22	https://static.itch.io/images/logo-white-new.svg	C:/Benim%20Web%20Sitem/sa/static.itch.io/images/logo-white-new.svg	(from https://static.itch.io/game.css?1647482983)
07:59:09	45450/45450	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c193f7f-b18a%22	https://static.itch.io/images/snowrepeat.svg	C:/Benim%20Web%20Sitem/sa/static.itch.io/images/snowrepeat.svg	(from https://static.itch.io/game.css?1647482983)
07:59:09	4285/4285	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ac04077-10bd%22	https://static.itch.io/images/logo-black-new.svg	C:/Benim%20Web%20Sitem/sa/static.itch.io/images/logo-black-new.svg	(from https://static.itch.io/game.css?1647482983)
07:59:10	6335/6335	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225db1d9ca-18bf%22	https://static.itch.io/images/logo-white-new-halloween.svg?2	C:/Benim%20Web%20Sitem/sa/static.itch.io/images/logo-white-new-halloweenc81e.svg	(from https://static.itch.io/game.css?1647482983)
07:59:10	2351/2351	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c2d88fc-92f%22	https://static.itch.io/images/itchio-textless-black.svg	C:/Benim%20Web%20Sitem/sa/static.itch.io/images/itchio-textless-black.svg	(from https://static.itch.io/game.css?1647482983)
